a b c
26.7 0.87 0.06746043334592948
26.7 0.98 0.06639445067523556
26.7 1.09 0.07107601967968588
26.7 1.2 0.06815973418458295
26.7 1.3 0.06282804061092268
26.7 1.41 0.06647112314222173
26.7 1.52 0.0682721410859415
26.7 1.63 0.05691617001086937
26.7 1.74 0.057573536003358836
26.7 1.85 0.06738587616627786
26.7 1.96 0.054634571137795414
26.7 2.07 0.05095695714127498
26.7 2.17 0.06427493793244127
26.7 2.28 0.05216131688260893
26.7 2.39 0.04712478832992446
26.7 2.5 0.06184328585022623
 
28.9 0.0 0.019607843137255093
28.9 0.11 0.031366043735865635
28.9 0.22 0.0489037913486772
28.9 0.33 0.07179843006989113
28.9 0.43 0.09327007005970388
28.9 0.54 0.10783660625087436
28.9 0.65 0.10151808495485887
28.9 0.76 0.07496104306572005
28.9 0.87 0.05206077550516729
28.9 0.98 0.06009200612702795
28.9 1.09 0.08542764471754415
28.9 1.2 0.08174265068704645
28.9 1.3 0.05555498395011909
28.9 1.41 0.05585394400228163
28.9 1.52 0.07850004265239849
28.9 1.63 0.06294184725306345
28.9 1.74 0.04870244105808079
28.9 1.85 0.06994861909236269
28.9 1.96 0.05884544478831453
28.9 2.07 0.047526454834271696
28.9 2.17 0.06534278160558304
28.9 2.28 0.051529357861377474
28.9 2.39 0.048967427927110764
28.9 2.5 0.060595240401165616
 
31.1 0.0 0.01960784313725469
31.1 0.11 0.0325191532451388
31.1 0.22 0.05122935116717469
31.1 0.33 0.07398565303301985
31.1 0.43 0.09229844472716725
31.1 0.54 0.09904395435477752
31.1 0.65 0.08507754407701835
31.1 0.76 0.06296845911135042
31.1 0.87 0.060503695954680733
31.1 0.98 0.07993933351802368
31.1 1.09 0.0815223317785005
31.1 1.2 0.057217496375423886
31.1 1.3 0.05847785841038481
31.1 1.41 0.08006644472085393
31.1 1.52 0.06132094199035052
31.1 1.63 0.05164545540923318
31.1 1.74 0.07542380184502383
31.1 1.85 0.053328525855599926
31.1 1.96 0.05391599320915086
31.1 2.07 0.06918904439920201
31.1 2.17 0.04357728911755586
31.1 2.28 0.06175686336358144
31.1 2.39 0.0536924856500483
31.1 2.5 0.04632377180371489
 
33.3 0.0 0.019607843137255398
33.3 0.11 0.03150238635546638
33.3 0.22 0.04892222400541845
33.3 0.33 0.07042748672922512
33.3 0.43 0.08845856865785742
33.3 0.54 0.0974104510638201
33.3 0.65 0.08904396295245784
33.3 0.76 0.07181707556186159
